Phenotypic Series - 
Downloaded:	Dec 22, 2016
Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only.


Charcot-Marie-Tooth disease - PS118220 - 70 Entries
Location	Phenotype	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.31	Charcot-Marie-Tooth disease, recessive intermediate C	3	615376	PLEKHG5, KIAA0720, DSMA4, CMTRIC	611101
1p36.22	?Charcot-Marie-Tooth disease, type 2A1	3	118210	KIF1B, CMT2A, CMT2A1, NBLST1	605995
1p36.22	Charcot-Marie-Tooth disease, axonal, type 2A2A	3	609260	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	608507
1p36.22	Hereditary motor and sensory neuropathy VIA	3	601152	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	608507
1p36.22	Charcot-Marie-Tooth disease, axonal, type 2A2B	3	617087	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	608507
1p35.1	Charcot-Marie-Tooth disease, dominant intermediate C	3	608323	YARS, CMTDIC, TYRRS, YTS, YRS	603623
1q22	Charcot-Marie-Tooth disease, type 2B1	3	605588	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	150330
1q23.3	Neuropathy, congenital hypomyelinating	3	605253	MPZ, CMT1B, CMTDID, CHM, DSS	159440
1q23.3	Charcot-Marie-Tooth disease, dominant intermediate D	3	607791	MPZ, CMT1B, CMTDID, CHM, DSS	159440
1q23.3	Charcot-Marie-Tooth disease, type 2J	3	607736	MPZ, CMT1B, CMTDID, CHM, DSS	159440
1q23.3	Charcot-Marie-Tooth disease, type 2I	3	607677	MPZ, CMT1B, CMTDID, CHM, DSS	159440
1q23.3	Charcot-Marie-Tooth disease, type 1B	3	118200	MPZ, CMT1B, CMTDID, CHM, DSS	159440
1q23.3	Dejerine-Sottas disease	3	145900	MPZ, CMT1B, CMTDID, CHM, DSS	159440
3q21.3	Charcot-Marie-Tooth disease, type 2B	3	600882	RAB7, CMT2B, PSN	602298
3q25.2	Charcot-Marie-Tooth disease, axonal, type 2T	3	617017	MME, CD10, CALLA, NEP, CMT2T, SCA43	120520
4q31.3	Charcot-Marie-Tooth disease, type 2R	3	615490	TRIM2, KIAA0517, CMT2R	614141
5q31.3	Charcot-Marie-Tooth disease, axonal, type 2W	3	616625	HARS, USH3B, CMT2W	142810
