Phenotypic Series - 
Downloaded:	Dec 22, 2016
Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only.


Deafness, autosomal recessive - PS220290 - 85 Entries
Location	Phenotype	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.31-p36.13	Deafness, autosomal recessive 96	2	614414	DFNB96	614414
1p36.31	Deafness, autosomal recessive 36	3	609006	ESPN	606351
1p34.3	Deafness, digenic, GJB2/GJB3	3	220290	GJB3, CX31, DFNA2B	603324
1p22.1-p13.3	Deafness, autosomal recessive 32	2	608653	DFNB32	608653
1p21.2	Deafness, autosomal recessive 105	3	616958	CDC14A, DFNB105	603504
1q23.2	Enlarged vestibular aqueduct, digenic	3	600791	KCNJ10, SESAME	602208
1q43-q44	Deafness, autosomal recessive 45	2	612433	DFNB45	612433
2p25.1-p24.3	Deafness, neurosensory, autosomal recessive 47	2	609946	DFNB47	609946
2p23.3	Deafness, autosomal recessive 9	3	601071	OTOF, DFNB9, NSRD9, AUNB1	603681
2p23.3	Auditory neuropathy, autosomal recessive, 1	3	601071	OTOF, DFNB9, NSRD9, AUNB1	603681
2p16.1	Deafness, autosomal recessive 70	3	614934	PNPT1, OLD35, COXPD13, DFNB70	610316
2p11.2	?Deafness, autosomal recessive 88	3	615429	ELMOD3, RBED1, DFNB88	615427
2q23-q31	Deafness, autosomal recessive 27	2	605818	DFNB27	605818
2q31.2	Deafness, autosomal recessive 59	3	610220	PJVK, DFNB59	610219
3p25.3	{Deafness, autosomal recessive 12, modifier of}	3	601386	ATP2B2, PMCA2	108733
3p21.31	Deafness, autosomal recessive 6	3	600971	TMIE, DFNB6	607237
3q13.33	Deafness, autosomal recessive 42	3	609646	ILDR1, DFNB42	609739
4p13	Deafness, autosomal recessive 25	3	613285	GRXCR1	613283
4q12-q13.2	Deafness, autosomal recessive 55	2	609952	DFNB55	609952
4q31	Deafness, autosomal recessive 26	2	605428	DFNB26	605428
5q13.2	Deafness, autosomal recessive 49	3	610153	MARVELD2, MARVD2, TRIC, DFNB49	610572
5q32	?Deafness, autosomal recessive 101	3	615837	GRXCR2, DFNB101	615762
5q35.1	Enlarged vestibular aqueduct	3	600791	FOXI1, FKHL10, FREAC6	601093
6p25.2	?Deafness, autosomal recessive 91	3	613453	SERPINB6, PI6, PTI, SPI3, DFNB91	173321
6p22.3	?Deafness, autosomal recessive 66	3	610212	DCDC2, RU2, KIAA1154, NPHP19, DFNB66	605755
6p22.3	?Deafness, autosomal recessive 104	3	616515	FAM65B, C6orf32, KIAA0386, PL48, DFNB104	611410
6p21.32	Deafness, autosomal recessive 53	3	609706	COL11A2, STL3, DFNA13, DFNB53, FBCG2	120290
6p21.31	Deafness, autosomal recessive 67	3	610265	LHFPL5, TMHS, DFNB67	609427
6p21.1	?Deafness, autosomal recessive 103	3	616042	CLIC5, DFNB103	607293
