Phenotypic Series - 
Downloaded:	Dec 22, 2016
Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only.


Spastic paraplegia - PS303350 - 66 Entries
Location	Phenotype	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p31.1-p21.1	Spastic paraplegia 29, autosomal dominant	2	609727	SPG29	609727
1p13.3	?Spastic paraplegia 63	3	615686	AMPD2, SPG63, PCH9	102771
1p13.2	Spastic paraplegia 47, autosomal recessive	3	614066	AP4B1, SPG47, CPSQ5	607245
1q24-q32	Spastic paraplegia 23	2	270750	SPG23	270750
1q42.13	Spastic paraplegia 44, autosomal recessive	3	613206	GJC2, GJA12, CX47, PMLDAR, HLD2, SPG44, LMPH1C	608803
1q42.13	?Spastic paraplegia 74, autosomal recessive	3	616451	IBA57, C1orf69, MMDS3, SPG74	615316
2p22.3	Spastic paraplegia 4, autosomal dominant	3	182601	SPAST, SPG4	604277
2p11.2	Spastic paraplegia 31, autosomal dominant	3	610250	REEP1, C2ORF23, SPG31, HMN5B	609139
2q33.1	Spastic paraplegia 13, autosomal dominant	3	605280	HSPD1, SPG13, HSP60, HLD4	118190
2q37.3	Spastic paraplegia 30, autosomal recessive	3	610357	KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9	601255
3q12.2	?Spastic paraplegia 57, autosomal recessive	3	615658	TFG, HMSNP, SPG57	602498
3q25.31	Spastic paraplegia 42, autosomal dominant	3	612539	SLC33A1, ACATN, AT1, SPG42, CCHLND	603690
3q27-q28	Spastic paraplegia 14, autosomal recessive	2	605229	SPG14	605229
4p16-p15	Spastic paraplegia 38, autosomal dominant	2	612335	SPG38	612335
4q25	Spastic paraplegia 56, autosomal recessive	3	615030	CYP2U1, SPG56	610670
6p25.1	?Spastic paraplegia 77, autosomal recessive	3	617046	FARS2, FARS1, COXPD14, SPG77	611592
6q23-q24.1	Spastic paraplegia 25, autosomal recessive	2	608220	SPG25	608220
7p22.1	Spastic paraplegia 48, autosomal recessive	3	613647	AP5Z1, KIAA0415, SPG48	613653
7q22.1	Spastic paraplegia 50, autosomal recessive	3	612936	AP4M1, SPG50, CPSQ3	602296
8p22	Spastic paraplegia 53, autosomal recessive	3	614898	VPS37A, HCRP1, SPG53	609927
8p21.1-q13.3	Spastic paraplegia 37, autosomal dominant	2	611945	SPG37	611945
