OMIM Phenotypic Series Titles - 
Downloaded:	Dec 22, 2016
Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only.

Phenotypic Series Title	Phenotypic Series number
Abdominal obesity-metabolic syndrome	PS605552
Achondrogenesis	PS200600
Acne inversa	PS142690
Acrodysostosis	PS101800
Adams-Oliver syndrome	PS100300
Advanced sleep phase syndrome	PS604348
Agammaglobulinemia	PS601495
Aicardi-Goutieres syndrome	PS225750
Alagille syndrome	PS118450
Alopecia, isolated	PS203655
Alopecia-mental retardation syndrome	PS203650
Alternating hemiplegia of childhood	PS104290
Amelogenesis imperfecta	PS104500
Amyloidosis, primary localized cutaneous	PS105250
Amyotrophic lateral sclerosis	PS105400
Anemia, congenital dyserythropoietic	PS224120
Anemia, hypochromic microcytic, with iron overload	PS206100
Anemia, Sideroblastic	PS300751
Aneurysm, intracranial berry	PS105800
Aniridia	PS106210
Aortic aneurysm, familial abdominal	PS100070
Aortic aneurysm, familial thoracic	PS607086
Aortic valve disease	PS109730
Arrhythmogenic right ventricular dysplasia	PS107970
Arthrogryposis, renal dysfunction, and cholestasis	PS208085
Asperger syndrome, susceptibility to	PS608638
Ataxia-telangiectasia-like disorder	PS604391
Atelosteogenesis	PS108720
Atrial fibrillation, familial	PS608583
Atrial septal defect	PS108800
Atrioventricular septal defect	PS606215
Auditory neuropathy	PS609129
Auriculocondylar syndrome	PS602483
Autism, susceptiblity to	PS209850
Autoimmune disease, multisystem, infantile-onset	PS615952
Baraitser-Winter syndrome	PS243310
Bardet-Biedl syndrome	PS209900
Bartter syndrome	PS601678
Basal ganglia calcification, idiopathic	PS213600
Bethlem myopathy	PS158810
Bile acid synthesis defect, congenital	PS607765
Biliary cirrhosis, primary	PS109720
Bleeding disorder, platelet-type	PS231200
Bone marrow failure syndrome	PS614675
Breast-ovarian cancer, familial, susceptibility to	PS604370
Breasts and/or nipples, aplasia or hypoplasia of	PS113700
Brittle cornea syndrome	PS229200
Bronchiectasis	PS211400
Brown-Vialetto-Van Laere syndrome	PS211530
Brugada syndrome	PS601144
Cardiofaciocutaneous syndrome	PS115150
Cardiomyopathy, familial hypertrophic	PS192600
Carpenter syndrome	PS201000
Cataract	PS116200
Celiac disease	PS212750
Cerebellar ataxia, mental retardation, and dysequilibrium	PS224050
Cerebral creatine deficiency syndrome	PS300352
Cerebrooculofacioskeletal syndrome	PS214150
Ceroid lipofuscinoses	PS256730
Charcot-Marie-Tooth disease	PS118220
Chilblain lupus	PS610448
Choroidal dystrophy, central areolar	PS215500
Coenzyme Q10 deficiency, primary	PS607426
Coffin-Siris syndrome	PS135900
Cold-induced sweating syndrome	PS272430
Cole-Carpenter syndrome	PS112240
Colorectal cancer, hereditary nonpolyposis	PS120435
Combined oxidative phosphorylation deficiency	PS609060
Congenital anomalies of kidney and urinary tract	PS610805
Congenital disorders of glycosylation, type I	PS212065
Congenital disorders of glycosylation, type II	PS212066
Cornea plana	PS121400
Corneal dystrophy, Fuchs endothelial	PS136800
Corneal dystrophy, posterior polymorphous	PS122000
Cornelia de Lange syndrome	PS122470
Cortical dysplasia, complex, with other brain malformations	PS614039
Cortisone reductase deficiency	PS604931
Cowden disease	PS158350
Cranioectodermal dysplasia	PS218330
Craniosynostosis	PS123100
D-2-hydroxyglutaric aciduria	PS600721
Deafness, autosomal dominant	PS124900
Deafness, autosomal recessive	PS220290
Deafness, X-linked	PS304500
Dent disease	PS300009
Dermatitis, atopic	PS603165
Desbuquois dysplasia	PS251450
Developmental dysplasia of the hip	PS142700
Diamond-Blackfan anemia	PS105650
Diarrhea, congenital	PS214700
Dilated cardiomyopathy	PS115200
Duane retraction syndrome	PS126800
Dyschromatosis universalis hereditaria	PS127500
Dyskeratosis congenita	PS127550
Dystonia	PS128100
Ectodermal dysplasia (select examples)	PS305100
Ectodermal dysplasia-syndactyly syndrome	PS613573
Emery-Dreifuss muscular dystrophy	PS310300
Encephalopathy due to defective mitochondrial and peroxisomal fission	PS614388
Encephalopathy, acute, infection-induced	PS610551
Epilepsy, familial adult myoclonic	PS601068
Epilepsy, familial focal, with variable foci	PS604364
Epilepsy, familial temporal lobe	PS600512
Epilepsy, generalized, with febrile seizures plus	PS604233
Epilepsy, nocturnal frontal lobe	PS600513
Epilepsy, progressive myoclonic	PS254800
Epileptic encephalopathy, early infantile	PS308350
Epiphyseal dysplasia, multiple	PS132400
Episodic ataxia	PS160120
Episodic kinesigenic dyskinesia	PS128200
Erythrocytosis, familial	PS133100
Exudative vitreoretinopathy	PS133780
Facial paresis, hereditary congenital	PS601471
Familial adenomatous polyposis	PS175100
Familial candidiasis	PS114580
Familial cold autoinflammatory syndrome	PS120100
Familial episodic pain syndrome	PS615040
Familial restrictive cardiomyopathy	PS115210
Fanconi anemia	PS227650
Fanconi renotubular syndrome	PS134600
Feingold syndrome	PS164280
Fibrochondrogenesis	PS228520
Fibrosis of extraocular muscles, congenital	PS135700
Focal facial dermal dysplasia	PS136500
Focal segmental glomerulosclerosis	PS603278
Foveal hypoplasia	PS136520
Frontometaphyseal dysplasia	PS305620
Frontonasal dysplasia	PS136760
Frontotemporal dementia and/or Amyotrophic Lateral Sclerosis	PS105550
Gallbladder disease	PS600803
Geleophysic dysplasia	PS231050
Generalized arterial calcification of infancy	PS208000
Giant axonal neuropathy	PS256850
Gingival fibromatosis	PS135300
Glioma	PS137800
Glomerulopathy with fibronectin deposits	PS137950
Glucocorticoid deficiency	PS202200
Glut1 deficiency syndrome	PS606777
Goiter, multinodular	PS138800
Granulomatous disease, chronic	PS306400
Griscelli syndrome	PS214450
Hemochromatosis	PS235200
Hemolytic uremic syndrome	PS235400
Hereditary sensory and autonomic neuropathy	PS162400
Hermansky-Pudlak syndrome	PS203300
Heterotaxy, visceral	PS306955
Hirschsprung disease	PS142623
Holoprosencephaly	PS236100
Hot water epilepsy	PS613339
Hydatidiform mole, recurrent	PS231090
Hydrolethalus syndrome	PS236680
Hyperbilirubinemia	PS237450
Hypercalcemia, infantile	PS143880
Hyperinsulinemia hypoglycemia	PS256450
Hypermanganesemia with dystonia	PS613280
Hyperoxaluria, primary	PS259900
Hyperphosphatasia with mental retardation syndrome	PS239300
Hypertropic osteoarthropathy, primary	PS259100
Hyperuricemic nephropathy, familial juvenile	PS162000
Hypocalcemia	PS601198
Hypocalciuric hypercalcemia	PS145980
Hypogonadotropic hypogonadism with or without anosmia	PS147950
Hypomagnesemia	PS602014
Hypophosphatemic rickets	PS193100
Hypoplastic left heart syndrome	PS241550
Hypospadias	PS300633
Hypothyroidism, congenital, nongoitrous	PS275200
Hypotonia, infantile, with psychomotor retardation and characteristic facies	PS615419
Hypotrichosis	PS605389
Ichthyosis, congenital, autosomal recessive	PS242300
IgA nephropathy	PS161950
Immunodeficiency with hyper-IgM	PS308230
Immunodeficiency, common variable	PS607594
Immunodeficiency-centromeric instability-facial anomalies	PS242860
Inclusion body myopathy/Paget disease/frontotemporal dementia	PS167320
Infantile liver failure syndrome	PS615438
Infantile myofibromatosis	PS228550
Inflammatory bowel disease	PS266600
Invasive pneumococcal disease, recurrent isolated	PS610799
Joubert syndrome	PS213300
Kabuki syndrome	PS147920
Kala-azar, susceptibility to	PS608207
Kenny-Caffey syndrome	PS127000
Keratoconus	PS148300
Klippel-Feil syndrome	PS118100
Leber congenital amaurosis	PS204000
Lectin complement activation pathway defects	PS614372
Left ventricular noncompaction	PS604169
LEOPARD syndrome	PS151100
Lethal congenital contracture syndrome	PS253310
Leukodystrophy, hypomyelinating	PS312080
Leukoencephalopathy, megalencephalic	PS604004
Li-Fraumeni syndrome	PS151623
Linear skin defects with multiple congenital anomalies	PS309801
Lipodystrophy, congenital generalized	PS608594
Lipodystrophy, familial partial	PS151660
Lissencephaly	PS607432
Loeys-Dietz syndrome	PS609192
Long QT syndrome	PS192500
Lymphedema, Hereditary	PS153100
Lymphoproliferative syndrome	PS308240
Macular degeneration, age-related	PS603075
Macular dystrophy, patterned	PS169150
Macular dystrophy, vitelliform	PS153840
Malignant hyperthermia	PS145600
Mandibuloacral dysplasia with lipodystrophy	PS248370
Maple syrup urine disease	PS248600
3MC syndrome	PS257920
Meckel syndrome	PS249000
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome	PS603387
Meier-Gorlin syndrome	PS224690
Melanoma, cutaneous malignant	PS155600
Mental retardation, autosomal dominant	PS156200
Mental retardation, autosomal recessive	PS249500
Mental retardation, nonsyndromic, X-linked	PS309530
Mental retardation, X-linked syndromic	PS309510
Methylcrotonylglycinuria	PS210200
3-Methylglutaconic aciduria	PS250950
Microcephaly and chorioretinopathy	PS251270
Microcephaly, primary autosomal recessive	PS251200
Microphthalmia, isolated	PS251600
Microphthalmia, isolated, with coloboma	PS300345
Microphthalmia, syndromic	PS309800
Microvascular complications of diabetes	PS603933
Mirror movements	PS157600
Mitochondrial DNA depletion syndrome	PS603041
Mitral valve prolapse, myxomatous	PS157700
Miyoshi muscular dystrophy	PS254130
Molybdenum cofactor deficiency	PS252150
Mosaic variegated aneuploidy syndrome	PS257300
Moyamoya disease	PS252350
Mucopolysaccharidoses	PS607014
Multiple congenital anomalies-hypotonia-seizures syndrome	PS614080
Multiple endocrine neoplasia	PS131100
Multiple mitochondrial dysfunctions syndrome	PS605711
Multiple sclerosis, susceptibility to	PS126200
Multiple synostoses syndrome	PS186500
Muscular dystrophy, limb-girdle, autosomal dominant	PS159000
Muscular dystrophy, limb-girdle, autosomal recessive	PS253600
Muscular dystrophy-dystroglycanopathy, type A	PS236670
Muscular dystrophy-dystroglycanopathy, type B	PS613155
Muscular dystrophy-dystroglycanopathy, type C	PS609308
Myasthenic syndrome, congenital	PS601462
Myasthenic syndrome, congenital, with tubular aggregates	PS610542
Myofibrillar myopathy	PS601419
Myopathy, centronuclear	PS160150
Myopathy, lactic acidosis, and siderblastic anemia	PS600462
Myopathy, tubular aggregate	PS160565
Myopia	PS160700
Myotonic dystrophy	PS160900
Nail disorder, nonsyndromic congenital	PS161050
Nanophthalmos	PS600165
Narcolepsy	PS161400
Nemaline myopathy	PS161800
Neonatal inflammatory skin and bowel disease	PS614328
Nephrolithiasis/osteoporosis, hypophosphatemic	PS612286
Nephronophthisis	PS256100
Nephrotic syndrome	PS256300
Neu-Laxova syndrome	PS256520
Neurodegeneration with brain iron accumulation	PS234200
Neutropenia, severe congenital	PS202700
Night blindness, congenital stationary	PS310500
Noonan syndrome	PS163950
Nystagmus, congenital	PS310700
Oculocutaneous albinism	PS203100
Oocyte maturation defect	PS615774
Opitz GBBB syndrome	PS300000
Optic atrophy	PS165500
Orofacial cleft	PS119530
Osteogenesis imperfecta	PS166200
Osteopetrosis, autosomal dominant	PS607634
Osteopetrosis, autosomal recessive	PS259700
Otofaciocervical syndrome	PS166780
Otosclerosis	PS166800
Ovarian dysgenesis	PS233300
Pachyonychia congenita	PS167200
Paget disease of bone	PS167250
Pancreatic agenesis	PS260370
Paragangliomas	PS168000
Parkinson disease	PS168600
Paroxysmal nocturnal hemoglobinuria	PS300818
Patent ductus arteriosus	PS607411
